Date,Time,Y,Open,High,Close,Low,Volume
2012.12.06,7:00,1691.07,1692.74,1694,1687.71,1692.26,4050
2012.12.06,8:00,1693.87,1692.35,1693.41,1685.78,1688.73,7611
2012.12.06,9:00,1699.58,1688.65,1695.13,1686.2,1692.6,8400
2012.12.06,10:00,1700.01,1692.58,1699.71,1691.44,1699.45,7562
2012.12.06,11:00,1699.87,1699.47,1703.1,1696.08,1696.91,5749
2012.12.06,12:00,1700.26,1696.93,1701.59,1695.02,1698.15,4743
2012.12.06,13:00,1699.23,1698.05,1700.96,1696.99,1699.55,3491
2012.12.06,14:00,1698.63,1699.53,1699.66,1697.41,1698.79,2082
2012.12.06,15:00,1699.77,1698.82,1699.34,1697.89,1697.91,1376
2012.12.06,16:00,1700.01,1697.97,1699.87,1697.6,1699.67,945
2012.12.06,17:00,1700.22,1699.68,1700.09,1699.54,1699.93,165
2012.12.06,18:00,1702.14,1699.37,1700.35,1699.19,1700.08,1278
2012.12.06,19:00,1703.02,1700.09,1702.46,1699.96,1701.82,1960
2012.12.06,20:00,1703.32,1701.8,1703.16,1701.21,1702.87,2151
2012.12.06,21:00,1703.45,1702.88,1703.74,1702.42,1702.9,1665
2012.12.06,22:00,1703.33,1702.88,1703.78,1702.88,1703.12,1120
2012.12.06,23:00,1702.31,1703.19,1703.54,1702.77,1703.11,1161
2012.12.07,0:00,1702.59,1703.1,1703.28,1701.31,1701.33,1182
2012.12.07,1:00,1701.67,1701.35,1702.67,1701.32,1702.5,1652
2012.12.07,2:00,1700.61,1702.47,1703.1,1700.05,1700.23,2427
2012.12.07,3:00,1698.71,1700.21,1701.56,1699.12,1699.65,3288
2012.12.07,4:00,1697.03,1699.7,1700.22,1697.11,1697.2,2991
2012.12.07,5:00,1697.11,1697.19,1697.94,1695.67,1696.11,2483
2012.12.07,6:00,1697.36,1696.21,1697.19,1695.29,1697.02,2131
2012.12.07,7:00,1699.79,1696.97,1697.74,1694.42,1696.97,3093
